ENTIDAD,MUN,LOC,AGEB,label
2,2,1,4609,3
2,2,1,4613,3
2,2,1,4628,3
2,2,1,4632,3
2,2,1,4647,3
2,2,1,4651,3
2,2,1,4666,3
2,2,1,4670,3
2,2,1,4685,3
2,2,1,469A,3
2,2,1,4702,3
2,2,1,4717,3
2,2,1,4721,3
2,2,1,4736,3
2,2,1,4740,3
2,2,1,4755,3
2,2,1,476A,3
2,2,1,4774,2
2,2,1,4789,2
2,2,1,4793,3
2,2,1,4806,2
2,2,1,4810,2
2,2,1,4825,2
2,2,1,483A,2
2,2,1,4844,3
2,2,1,4859,3
2,2,1,4863,3
2,2,1,4878,2
2,2,1,4882,2
2,2,1,4897,2
2,2,1,490A,2
2,2,1,4914,3
2,2,1,4929,3
2,2,1,4933,2
2,2,1,4948,2
2,2,1,4952,3
2,2,1,4967,2
2,2,1,4971,3
2,2,1,4986,2
2,2,1,4990,3
2,2,1,5005,3
2,2,1,501A,3
2,2,1,5024,3
2,2,1,5113,2
2,2,1,5128,2
2,2,1,5132,2
2,2,1,5151,2
2,2,1,5166,2
2,2,1,5170,2
2,2,1,5289,2
2,2,1,5293,3
2,2,1,5310,2
2,2,1,5325,3
2,2,1,533A,3
2,2,1,5344,2
2,2,1,5359,2
2,2,1,5467,2
2,2,1,5471,2
2,2,1,5486,2
2,2,1,5490,3
2,2,1,5518,2
2,2,1,5522,2
2,2,1,5537,3
2,2,1,5541,2
2,2,1,5556,3
2,2,1,5560,3
2,2,1,5575,3
2,2,1,558A,1
2,2,1,5594,2
2,2,1,5607,3
2,2,1,5611,2
2,2,1,565A,3
2,2,1,5664,3
2,2,1,5679,2
2,2,1,5683,3
2,2,1,5698,3
2,2,1,5700,2
2,2,1,5715,2
2,2,1,5749,2
2,2,1,5753,2
2,2,1,5768,2
2,2,1,5772,2
2,2,1,5787,2
2,2,1,5791,2
2,2,1,5804,2
2,2,1,5823,2
2,2,1,5838,3
2,2,1,5842,3
2,2,1,5857,3
2,2,1,5861,3
2,2,1,5880,3
2,2,1,5931,2
2,2,1,5946,2
2,2,1,5950,2
2,2,1,5965,2
2,2,1,597A,2
2,2,1,5984,3
2,2,1,5999,3
2,2,1,6003,3
2,2,1,6018,3
2,2,1,6022,3
2,2,1,6037,3
2,2,1,6041,3
2,2,1,6056,3
2,2,1,6060,3
2,2,1,6075,3
2,2,1,608A,3
2,2,1,6094,3
2,2,1,6107,3
2,2,1,6111,3
2,2,1,6126,3
2,2,1,6145,3
2,2,1,615A,3
2,2,1,6164,3
2,2,1,6179,3
2,2,1,6183,2
2,2,1,6198,2
2,2,1,6200,3
2,2,1,6215,3
2,2,1,6291,2
2,2,1,6319,2
2,2,1,6323,2
2,2,1,6338,2
2,2,1,6357,2
2,2,1,6361,2
2,2,1,6376,2
2,2,1,6380,2
2,2,1,6450,2
2,2,1,6465,2
2,2,1,647A,3
2,2,1,6484,3
2,2,1,6499,2
2,2,1,6516,2
2,2,1,6520,2
2,2,1,6535,2
2,2,1,654A,2
2,2,1,6554,2
2,2,1,6569,2
2,2,1,6573,2
2,2,1,6588,2
2,2,1,6592,2
2,2,1,6605,3
2,2,1,661A,3
2,2,1,6624,2
2,2,1,6639,3
2,2,1,6643,3
2,2,1,6658,2
2,2,1,6662,2
2,2,1,6677,3
2,2,1,6681,2
2,2,1,6696,3
2,2,1,6728,2
2,2,1,6732,2
2,2,1,6747,2
2,2,1,6751,3
2,2,1,6766,3
2,2,1,6770,3
2,2,1,6785,2
2,2,1,679A,3
2,2,1,6836,2
2,2,1,6840,3
2,2,1,6855,3
2,2,1,6893,2
2,2,1,6906,2
2,2,1,6910,2
2,2,1,6925,2
2,2,1,6944,3
2,2,1,6959,3
2,2,1,6963,2
2,2,1,6978,2
2,2,1,6982,3
2,2,1,6997,2
2,2,1,7001,2
2,2,1,7016,2
2,2,1,7020,2
2,2,1,7035,2
2,2,1,704A,2
2,2,1,7054,2
2,2,1,7069,2
2,2,1,7073,3
2,2,1,7088,2
2,2,1,7092,3
2,2,1,7105,3
2,2,1,711A,2
2,2,1,7124,3
2,2,1,7139,2
2,2,1,7143,2
2,2,1,7158,2
2,2,1,7162,2
2,2,1,7177,2
2,2,1,7181,2
2,2,1,7196,2
2,2,1,7213,3
2,2,1,7228,3
2,2,1,7232,3
2,2,1,7247,3
2,2,1,7251,3
2,2,1,7266,2
2,2,1,7270,3
2,2,1,7285,3
2,2,1,7302,3
2,2,1,7317,2
2,2,1,7321,3
2,2,1,7336,3
2,2,1,7340,3
2,2,1,7355,2
2,2,1,736A,2
2,2,1,7374,2
2,2,1,7389,3
2,2,1,7406,3
2,2,1,7410,3
2,2,1,7425,3
2,2,1,743A,3
2,2,1,7444,3
2,2,1,7529,2
2,2,1,7567,2
2,2,1,7571,2
2,2,1,7586,3
2,2,1,7590,3
2,2,1,7603,2
2,2,1,7637,1
2,2,1,7641,3
2,2,1,7656,2
2,2,1,7675,3
2,2,1,768A,1
2,2,1,7694,1
2,2,1,7707,2
2,2,1,7711,3
2,2,1,7726,3
2,2,1,7730,3
2,2,1,7745,3
2,2,1,7764,3
2,2,1,7779,2
2,2,1,7783,2
2,2,1,7853,3
2,2,1,7923,2
2,2,1,8067,3
2,2,1,8071,3
2,2,1,8086,3
2,2,1,8090,3
2,2,1,8118,3
2,2,1,8122,2
2,2,1,8137,3
2,2,1,8141,3
2,2,1,818A,3
2,2,1,8194,3
2,2,1,8211,2
2,2,1,8230,3
2,2,1,8245,2
2,2,1,825A,3
2,2,1,8315,3
2,2,1,8372,3
2,2,1,8404,3
2,2,1,8442,3
2,2,1,8457,3
2,2,1,8476,2
2,2,1,8495,3
2,2,110,2585,2
2,2,110,2706,2
2,2,110,2710,2
2,2,110,5039,2
2,2,110,5043,2
2,2,111,0343,2
2,2,111,4011,2
2,2,111,4026,2
2,2,111,4079,2
2,2,111,6249,2
2,2,111,6889,3
2,2,111,832A,2
2,2,159,5081,3
2,2,159,5096,2
2,2,159,5109,2
2,2,159,6709,2
2,2,159,6713,2
2,2,159,7834,2
2,2,159,8160,2
2,2,185,2602,2
2,2,185,2960,2
2,2,185,2975,2
2,2,185,3117,2
2,2,185,3121,2
2,2,185,4098,2
2,2,185,5363,2
2,2,185,5378,2
2,2,185,5819,2
2,2,185,6253,2
2,2,185,6268,2
2,2,185,6821,2
2,2,185,8175,2
2,2,185,8226,2
2,2,185,8353,2
2,2,192,5058,2
2,2,192,5062,2
2,2,192,7533,2
2,2,211,3494,2
2,2,212,3579,1
2,2,225,5306,2
2,2,227,7868,2
2,2,227,7872,2
2,2,231,5202,2
2,2,231,5217,2
2,2,231,5221,3
2,2,231,5236,3
2,2,231,6408,2
2,2,231,6412,2
2,2,231,6427,2
2,2,231,6817,2
2,2,231,7618,2
2,2,231,7622,2
2,2,231,8300,2
2,2,237,5448,2
2,2,237,5452,2
2,2,237,6431,2
2,2,237,7209,2
2,2,268,8048,2
2,2,268,8052,2
2,2,270,348A,2
2,2,284,3028,2
2,2,284,3032,2
2,2,284,3047,2
2,2,284,4030,2
2,2,284,5240,2
2,2,284,5255,2
2,2,284,526A,2
2,2,284,5274,3
2,2,284,5397,3
2,2,284,540A,3
2,2,284,5414,3
2,2,284,5734,2
2,2,284,5895,2
2,2,284,5908,3
2,2,284,5912,2
2,2,284,6446,2
2,2,456,2674,2
2,2,456,2689,2
2,2,456,5382,2
2,2,456,6272,3
2,2,456,6874,1
2,2,456,8349,1
2,2,459,4100,2
2,2,459,4115,2
2,2,459,622A,2
2,2,461,2937,2
2,2,461,2941,2
2,2,461,3973,2
2,2,461,5185,2
2,2,461,519A,2
2,2,461,572A,2
2,3,1,0016,3
2,3,1,0020,2
2,3,1,0054,1
2,3,1,0069,2
2,3,1,0073,2
2,3,1,0088,2
2,3,1,0092,2
2,3,1,0425,3
2,3,1,0444,3
2,3,1,0459,3
2,3,1,0463,3
2,3,1,0478,3
2,3,1,0482,3
2,3,1,0497,3
2,3,1,050A,3
2,3,1,0514,3
2,3,1,0529,3
2,3,1,0548,3
2,3,1,0552,2
2,3,1,0567,2
2,3,1,0942,2
2,3,1,0957,2
2,3,1,0961,2
2,3,1,0976,2
2,3,1,1071,3
2,3,1,1086,3
2,3,1,1090,3
2,3,1,1103,3
2,3,1,1118,3
2,3,1,1122,3
2,3,1,1137,2
2,3,1,1279,3
2,3,1,1283,3
2,3,1,1298,2
